idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
1092	62.2984	41.2448	59.8645	5.0	4.997	-0.120851087	-0.121655769	-0.000804682	-0.5049
1093	53.8631	39.6165	52.2577	5.0	4.995	-0.123440322	-0.124090195	-0.000649872	-0.4078
1094	49.8507	32.3752	55.3890	4.0	3.997	-0.103405503	-0.104083964	-0.000678461	-0.4257
1095	61.2232	33.5353	63.7612	5.0	4.999	-0.121228183	-0.123548528	-0.002320344	-1.4560
1096	58.9931	37.8330	51.2273	3.0	3.011	-0.159767523	-0.159820495	-0.000052972	-0.0332
1097	58.7245	33.7539	64.3796	5.0	4.998	-0.117062118	-0.119648168	-0.002586050	-1.6228
1098	51.5704	37.1323	55.9941	4.0	3.997	-0.130517685	-0.131617090	-0.001099405	-0.6899
1099	60.4282	26.9858	51.6321	4.0	3.996	-0.137925884	-0.134300519	0.003625365	2.2750
1100	49.8490	28.8184	55.1645	5.0	4.997	-0.091122476	-0.091700437	-0.000577962	-0.3627
1101	60.7113	38.3985	60.3576	3.0	2.995	-0.163480696	-0.165135254	-0.001654558	-1.0383
1102	50.8013	35.8055	51.4366	5.0	4.997	-0.105793510	-0.106405177	-0.000611667	-0.3838
1103	54.3015	26.8259	55.1722	4.0	3.998	-0.110587078	-0.111219066	-0.000631988	-0.3966
1104	55.0541	35.1705	47.4138	5.0	4.997	-0.107682109	-0.107203968	0.000478141	0.3000
1105	49.6475	33.0368	51.8235	5.0	4.998	-0.096915234	-0.097446122	-0.000530888	-0.3331
1106	65.0443	28.6131	50.9080	4.0	3.998	-0.131676060	-0.127344374	0.004331686	2.7182
1107	56.9884	30.7825	61.0617	3.0	2.999	-0.143255351	-0.148819380	-0.005564030	-3.4915
1108	56.5889	32.1621	63.9698	5.0	4.997	-0.113667571	-0.116509480	-0.002841909	-1.7833
1109	57.4825	29.0490	49.0285	5.0	5.018	-0.124997875	-0.122758194	0.002239681	1.4054
1110	56.6799	42.0416	53.3144	5.0	4.998	-0.123258797	-0.123713566	-0.000454769	-0.2854
1111	54.4635	41.6511	58.7856	5.0	4.997	-0.120020356	-0.120659530	-0.000639174	-0.4011
1112	55.5330	33.1116	61.3933	3.0	2.999	-0.148136754	-0.153254174	-0.005117420	-3.2112
1113	65.8612	36.4782	60.3084	5.0	4.996	-0.121661124	-0.122461478	-0.000800354	-0.5022
1114	59.2865	32.6982	62.1664	3.0	2.994	-0.148221595	-0.153146545	-0.004924950	-3.0905
