row	idx	x	y	z	shell	standoff
322	322	51.2757	30.5758	51.5996	4.0	3.996
323	323	62.8768	35.9903	60.6458	3.0	2.993
324	324	53.4805	32.2791	50.3804	3.0	2.997
325	325	60.5595	40.8618	57.5904	3.0	2.997
326	326	59.5683	37.9949	49.8081	4.0	3.995
327	327	64.6770	36.2473	58.0748	3.0	2.996
328	328	52.5690	39.0941	55.7096	4.0	3.999
329	329	65.0633	35.3484	59.9194	4.0	3.997
330	330	58.0489	43.2851	56.2956	5.0	4.998
331	331	59.6392	28.2222	59.4154	3.0	2.994
332	332	62.9559	27.8052	53.4287	3.0	3.009
333	333	53.1578	26.4601	53.7071	5.0	4.999
334	334	52.5501	33.2468	49.8227	4.0	3.997
335	335	59.7482	35.8274	47.2174	5.0	4.999
336	336	52.7444	29.6250	57.4972	3.0	2.995
337	337	59.6142	26.8542	52.7879	4.0	3.996
338	338	62.1632	41.0438	57.8485	4.0	3.998
339	339	57.1901	39.9005	60.8602	4.0	3.999
340	340	50.4281	35.5627	58.1510	5.0	4.999
341	341	62.9624	25.3246	54.9004	5.0	4.997
342	342	52.7886	28.3335	59.9525	5.0	4.999
343	343	60.2652	32.9279	64.0430	5.0	4.997
344	344	52.4145	39.4046	53.8084	5.0	4.997
345	345	61.7986	31.9849	61.1405	3.0	2.997
346	346	53.6211	27.2247	54.5451	4.0	3.998
347	347	59.5627	31.5944	61.6669	3.0	2.996
348	348	55.1104	27.9615	54.0434	3.0	3.014
349	349	53.5416	35.3742	49.6385	4.0	3.995
350	350	55.5901	26.9876	50.8212	5.0	4.997
351	351	51.9325	35.0839	54.7948	3.0	2.998
352	352	53.6474	31.8415	62.1092	5.0	4.996
353	353	53.8050	38.8396	55.5114	3.0	2.996
354	354	54.6750	37.9309	50.3769	4.0	3.998
355	355	57.8322	36.2661	47.3315	5.0	4.997
356	356	58.9081	34.9540	48.0829	4.0	3.997
357	357	67.9678	33.1880	53.4052	5.0	4.997
358	358	68.0171	30.8667	53.8320	5.0	4.997
359	359	59.8197	25.7130	52.8511	5.0	4.997
360	360	64.1773	31.0301	60.5342	4.0	3.999
361	361	57.8474	40.1444	62.0985	5.0	4.996
362	362	66.8644	36.0168	56.5494	5.0	4.998
363	363	54.8254	32.9519	47.5777	5.0	4.996
364	364	65.6726	38.1814	59.3950	5.0	4.997
365	365	67.2032	31.8347	54.5069	4.0	3.998
366	366	65.0987	33.1365	58.3502	3.0	2.998
367	367	58.9562	29.1264	62.4680	5.0	4.995
368	368	61.3293	41.6598	52.9363	5.0	4.996
369	369	59.7929	36.8749	48.8483	4.0	3.996
370	370	57.0086	38.3600	60.7595	3.0	2.996
371	371	64.4190	28.5937	53.5371	3.0	3.022
372	372	56.3436	32.1365	48.4831	4.0	3.996
373	373	61.0187	41.8838	56.7823	4.0	3.996
374	374	52.3048	27.8546	54.3164	4.0	3.996
375	375	60.7564	40.3946	58.5328	3.0	2.995
376	376	61.0039	27.5862	48.6908	5.0	4.996
377	377	66.4185	34.8289	59.4659	5.0	4.997
378	378	51.5876	32.1137	60.2566	5.0	4.997
379	379	49.5619	31.5942	52.1634	5.0	5.003
380	380	55.7124	38.7472	62.7359	5.0	4.996
381	381	60.9533	35.4934	47.2514	5.0	4.999
382	382	55.8905	39.2433	51.5116	4.0	3.998
383	383	55.7629	42.4250	57.8988	5.0	4.998
384	384	57.4301	27.1779	57.3477	3.0	2.995
385	385	51.2017	33.9557	49.7816	5.0	4.996
386	386	64.8277	38.3961	57.6977	4.0	3.996
387	387	61.5709	39.2314	53.8259	3.0	2.995
388	388	65.2445	39.3043	55.7562	5.0	4.996
389	389	64.3440	26.9090	56.4901	4.0	3.996
390	390	53.8933	39.0488	58.2165	3.0	2.994
391	391	61.8671	35.6022	49.9426	3.0	2.996
392	392	56.9537	39.5958	53.5442	3.0	2.994
393	393	50.7894	32.7866	58.0416	4.0	3.997
394	394	55.0358	27.9705	59.8996	4.0	3.997
395	395	53.9628	27.6950	58.6464	4.0	3.997
396	396	56.7478	33.4420	63.1630	4.0	3.999
397	397	62.4270	26.9799	60.0465	5.0	4.997
398	398	56.7618	27.6519	58.4639	3.0	2.997
399	399	52.2393	36.5280	50.1871	5.0	4.997
400	400	59.6366	30.2833	48.5073	4.0	3.996
401	401	65.3525	31.3247	48.1238	5.0	4.998
402	402	62.1365	28.3609	49.3445	4.0	3.998
403	403	53.9557	37.7539	54.0876	3.0	2.994
404	404	67.2323	28.1250	55.6435	5.0	4.998
405	405	59.8639	41.2224	53.3769	4.0	3.997
406	406	49.1356	34.0541	55.5431	5.0	4.997
407	407	64.0081	36.6838	59.2572	3.0	2.996
408	408	51.0301	31.6956	51.4287	4.0	3.997
409	409	51.2370	34.4222	51.5989	4.0	3.996
410	410	59.9897	26.1882	54.9145	4.0	3.997
411	411	55.9753	28.0754	51.0078	4.0	3.996
412	412	55.4728	32.1795	63.5435	5.0	4.998
413	413	63.8364	32.2967	61.2935	4.0	3.995
414	414	51.8809	33.5369	49.1078	5.0	4.998
415	415	53.5874	29.4846	60.0529	4.0	3.995
416	416	63.6198	39.0941	59.0656	4.0	3.998
417	417	59.9761	25.9666	56.3634	4.0	3.997
418	418	54.6254	41.6500	55.0276	5.0	4.998
419	419	65.9816	27.8524	51.1931	5.0	4.998
