idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
197	66.9059	32.9400	59.4549	5.0	4.997	-0.124124885	-0.124314691	-0.000189807	-0.1191
198	55.5912	32.5511	49.6667	3.0	2.997	-0.139556558	-0.137887556	0.001669001	1.0473
199	51.8352	36.1445	61.1752	5.0	4.998	-0.114460600	-0.116136302	-0.001675701	-1.0515
200	57.6396	27.0348	51.1138	5.0	5.007	-0.124512728	-0.122206861	0.002305867	1.4470
201	67.6634	29.8668	53.3127	5.0	4.999	-0.124330091	-0.121324115	0.003005976	1.8863
202	60.7630	34.0412	47.0060	5.0	4.998	-0.120042596	-0.117828463	0.002214132	1.3894
203	65.8503	35.2744	51.9676	4.0	3.996	-0.143254629	-0.141077120	0.002177509	1.3664
204	64.9551	37.5376	54.6978	4.0	3.997	-0.147740711	-0.147578778	0.000161932	0.1016
205	62.0751	26.8464	51.7741	4.0	3.998	-0.136628446	-0.132296897	0.004331549	2.7181
206	66.3476	35.5933	50.6655	5.0	4.998	-0.124166818	-0.122270427	0.001896391	1.1900
207	59.7195	31.4984	47.1242	5.0	4.998	-0.120921744	-0.118113271	0.002808473	1.7623
208	67.8240	32.5794	57.8866	5.0	4.998	-0.122942559	-0.122275659	0.000666900	0.4185
209	58.4320	36.6565	49.8689	3.0	2.994	-0.145715994	-0.144733447	0.000982547	0.6166
210	53.6584	34.8657	50.9230	3.0	3.028	-0.133543379	-0.133832534	-0.000289155	-0.1814
211	63.4981	39.5919	55.3360	4.0	3.995	-0.144883998	-0.145536069	-0.000652071	-0.4092
212	54.1026	36.1445	48.1306	5.0	4.998	-0.106793168	-0.106423330	0.000369837	0.2321
213	65.0890	30.1277	48.2545	5.0	4.999	-0.115021375	-0.111608581	0.003412794	2.1416
214	56.7312	27.0418	59.3383	4.0	3.999	-0.114495954	-0.116272821	-0.001776866	-1.1150
215	58.4516	41.0359	55.0082	3.0	2.995	-0.160185951	-0.160809160	-0.000623209	-0.3911
216	66.6518	29.7518	50.0643	5.0	4.998	-0.117029457	-0.113621136	0.003408321	2.1388
217	62.0920	29.8356	48.3535	4.0	3.998	-0.131077882	-0.126621221	0.004456661	2.7966
218	62.1605	28.9049	60.3551	4.0	3.998	-0.136439355	-0.138380443	-0.001941088	-1.2181
