idx	x	y	z	shell	standoff	nx	ny	nz
549	66.0276	35.2273	54.5110	4.0	4.000	0.8143	0.5578	0.1607
550	59.4325	35.8273	62.8438	4.0	4.000	0.2326	0.3599	0.9035
551	57.6325	39.3291	51.2110	4.0	4.000	0.0294	0.9214	-0.3874
552	57.9325	26.0956	56.6110	4.0	4.000	0.1617	-0.9809	0.1079
553	54.6325	30.1273	49.4792	4.0	4.000	-0.1010	-0.4101	-0.9064
554	51.5733	36.7273	58.4110	4.0	4.000	-0.9510	0.1309	0.2800
555	60.0325	40.3273	60.6603	4.0	3.999	0.2524	0.6135	0.7483
556	66.9997	31.3273	53.6110	4.0	4.000	0.9933	-0.1142	0.0197
557	66.4109	32.8273	58.4110	4.0	4.000	0.8136	0.2232	0.5368
558	57.6325	30.7273	62.4750	4.0	3.999	-0.1521	-0.5155	0.8433
559	57.3325	38.2273	49.6295	4.0	3.999	0.0284	0.7049	-0.7087
560	66.1928	34.9273	52.4110	4.0	4.000	0.8423	0.4986	-0.2045
561	67.0193	30.1273	56.3110	4.0	4.000	0.9363	-0.3102	0.1647
562	64.5325	34.0273	60.7903	4.0	4.000	0.7512	-0.0222	0.6597
563	51.8426	34.6273	59.0110	4.0	4.000	-0.9002	-0.1944	0.3896
564	54.6325	26.8101	57.8110	4.0	4.000	-0.4717	-0.8151	0.3363
565	53.1325	39.9329	57.2110	4.0	3.999	-0.6610	0.7503	0.0095
566	62.4325	37.8635	50.9110	4.0	3.999	0.5095	0.6972	-0.5044
567	51.9325	32.8273	50.2598	4.0	3.999	-0.6465	0.0800	-0.7587
568	65.7325	36.4273	57.8453	4.0	3.999	0.9650	0.1954	0.1751
569	66.0325	29.4804	51.5110	4.0	3.999	0.7912	-0.4934	-0.3614
570	50.4325	32.2273	57.5185	4.0	4.000	-0.8702	-0.0238	0.4921
571	55.8325	28.6273	60.8098	4.0	4.000	-0.2363	-0.5934	0.7694
572	60.9325	33.7273	62.8123	4.0	4.000	0.1699	-0.1424	0.9751
573	58.2325	27.1938	59.6110	4.0	3.999	-0.1924	-0.7698	0.6086
574	62.1325	31.9273	62.1229	4.0	4.000	0.3244	-0.2577	0.9101
575	63.3325	31.9273	48.1348	4.0	4.000	0.3487	-0.0590	-0.9354
576	66.8025	29.8273	54.2110	4.0	4.000	0.9109	-0.3108	-0.2714
577	53.1325	37.0273	51.2966	4.0	3.998	-0.7943	0.4736	-0.3804
578	51.2248	35.8273	53.9110	4.0	3.999	-0.8188	0.5718	-0.0512
579	59.0543	27.4273	51.8110	4.0	3.999	-0.2855	-0.8980	-0.3349
580	59.9448	41.8273	54.5110	4.0	3.998	0.1785	0.9238	-0.3387
581	51.9016	28.6273	57.2110	4.0	4.000	-0.6133	-0.6988	0.3681
582	65.7325	30.1999	50.3110	4.0	3.999	0.7407	-0.3349	-0.5825
583	59.1325	32.5273	48.1293	4.0	4.000	-0.0814	-0.2368	-0.9681
584	64.5325	37.9273	59.3990	4.0	3.999	0.7518	0.4761	0.4562
585	65.1325	34.9273	59.8516	4.0	3.999	0.8858	0.0701	0.4588
586	65.5605	33.1273	49.7110	4.0	3.999	0.7396	0.2162	-0.6374
587	61.7397	41.5273	56.6110	4.0	3.999	0.4997	0.8652	0.0414
588	65.1325	27.9120	53.3110	4.0	4.002	0.5832	-0.7255	-0.3655
589	66.6507	34.3273	55.4110	4.0	4.000	0.8996	0.4365	-0.0118
590	53.2307	32.8273	60.2110	4.0	4.000	-0.8808	-0.0995	0.4629
591	54.3325	38.6621	52.1110	4.0	3.999	-0.5918	0.7618	-0.2636
592	54.9325	35.2273	48.5772	4.0	4.000	-0.4656	0.2195	-0.8573
593	57.6325	26.0914	55.4110	4.0	4.000	0.1616	-0.9791	-0.1232
594	54.0325	27.1273	54.3438	4.0	3.998	-0.2751	-0.9511	-0.1407
595	62.8220	35.8273	62.0110	4.0	3.999	0.4947	0.2308	0.8378
596	51.3275	36.1273	56.9110	4.0	4.000	-0.9970	0.0774	0.0093
597	54.0325	39.1273	60.4497	4.0	3.999	-0.5258	0.6082	0.5947
598	58.2325	35.2273	48.1548	4.0	4.000	0.1697	0.2165	-0.9614
599	59.7325	37.2252	49.1110	4.0	3.999	0.0405	0.6357	-0.7709
600	65.1325	32.2273	59.9745	4.0	3.999	0.5824	0.1104	0.8054
601	62.7325	26.2669	55.7110	4.0	4.000	0.1989	-0.9783	0.0580
602	65.2035	37.6273	55.7110	4.0	4.000	0.8443	0.5072	-0.1729
603	64.5325	37.0273	53.2367	4.0	3.999	0.7549	0.4708	-0.4566
604	51.9325	28.0767	54.5110	4.0	4.000	-0.6270	-0.7743	-0.0852
605	67.2846	31.6273	56.0110	4.0	4.000	0.9936	0.0135	0.1120
606	63.0325	29.5019	60.5110	4.0	3.999	0.2686	-0.3771	0.8863
607	65.6140	35.5273	51.8110	4.0	3.999	0.7327	0.5975	-0.3257
608	60.6325	39.4273	51.9972	4.0	3.999	0.2841	0.4995	-0.8184
609	61.5325	37.6273	61.6766	4.0	4.000	0.2745	0.5419	0.7943
610	61.2325	41.0586	53.9110	4.0	3.999	0.4524	0.7707	-0.4486
