idx	x	y	z	shell	standoff	nx	ny	nz
262	54.8634	40.1165	51.9801	5.0	4.996	-0.4087	0.8851	-0.2227
263	59.6991	41.6739	52.2797	5.0	4.996	0.1071	0.7473	-0.6558
264	58.6307	27.9301	61.6606	5.0	4.996	-0.1109	-0.5270	0.8426
265	53.7845	31.2249	48.2317	5.0	4.997	-0.2719	-0.2115	-0.9388
266	62.7643	37.4315	50.7128	4.0	3.996	0.6098	0.6234	-0.4894
267	53.7260	29.0047	52.2789	3.0	2.998	-0.4535	-0.7561	-0.4719
268	53.6037	38.5988	60.5309	4.0	3.997	-0.5765	0.5016	0.6450
269	51.6134	33.4151	58.8257	4.0	3.998	-0.6745	0.2033	0.7097
270	62.8562	40.1319	60.4866	5.0	4.997	0.6151	0.5215	0.5913
271	64.0380	30.3673	50.0150	3.0	2.997	0.5665	-0.4099	-0.7149
272	63.5594	37.4718	54.3759	3.0	2.993	0.6921	0.6144	-0.3789
273	56.2334	25.1781	54.8470	5.0	4.997	-0.1068	-0.9739	-0.2002
274	65.2482	37.3670	60.7401	5.0	4.997	0.7352	0.3529	0.5788
275	58.6278	40.9813	52.9404	4.0	3.997	-0.0376	0.7576	-0.6516
276	60.0426	35.6417	49.3064	3.0	2.996	0.1126	0.4203	-0.9004
277	58.6468	40.0874	53.4448	3.0	2.995	-0.0457	0.7387	-0.6725
278	57.3878	41.5454	59.0428	4.0	3.998	-0.2375	0.8557	0.4597
279	65.7894	33.4572	60.7851	5.0	4.998	0.8487	0.0241	0.5283
280	57.7711	29.7818	61.7202	4.0	3.997	-0.0934	-0.7074	0.7006
281	57.3905	40.4070	54.2336	3.0	2.997	-0.2992	0.8154	-0.4957
282	51.1825	27.9016	57.3497	5.0	4.995	-0.6203	-0.6971	0.3596
283	56.7572	43.0009	56.3886	5.0	4.998	-0.2993	0.9540	-0.0182
284	60.1422	27.5330	61.3904	5.0	4.997	0.1349	-0.5826	0.8015
285	56.4069	27.0216	56.1578	3.0	2.996	-0.1570	-0.9875	-0.0101
286	56.5963	25.7207	53.2975	5.0	4.997	-0.0570	-0.8691	-0.4914
287	60.2086	32.1968	47.9998	4.0	3.997	-0.2466	-0.0053	-0.9691
