#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
       239;      5;     28.94;     23.37;           ;    -1076.29105674;    -0.00006471;         1.6961;        12.0427;     0.011702
       240;      8;     33.59;     23.85;           ;    -1076.29126879;    -0.00021205;         1.1846;         9.1400;     0.017708
       241;      8;     31.50;     22.94;           ;    -1076.29133550;    -0.00006671;         1.6407;        11.8169;     0.017112
       242;      5;     28.71;     23.38;           ;    -1076.29154501;    -0.00020951;         1.2097;         8.0336;     0.009405
       243;      5;     30.22;     23.67;           ;    -1076.29161110;    -0.00006609;         1.7259;        18.1689;     0.009207
       244;      8;     33.30;     23.40;           ;    -1076.29183401;    -0.00022292;         1.3187;         9.8708;     0.030002
       245;      7;     31.44;     23.26;           ;    -1076.29186437;    -0.00003036;         1.7270;        23.3460;     0.016938
       246;      7;     32.72;     22.90;           ;    -1076.29207898;    -0.00021461;         1.3819;         8.2349;     0.018914
       247;      3;     24.68;     24.20;           ;    -1076.29208642;    -0.00000743;         1.5831;        13.0817;     0.004254
       248;      8;     32.78;     22.82;           ;    -1076.29229338;    -0.00020697;         1.2264;         8.8144;     0.024796
       249;      6;     28.48;     22.99;           ;    -1076.29233613;    -0.00004275;         1.7240;        16.8670;     0.018415
       250;      5;     26.25;     23.24;           ;    -1076.29254073;    -0.00020459;         1.2173;         7.2656;     0.008984
       251;      5;     26.97;     23.31;           ;    -1076.29256904;    -0.00002832;         1.6135;        20.2287;     0.005007
       252;      6;     28.68;     23.99;           ;    -1076.29274165;    -0.00017260;         1.1865;         8.1164;     0.016474
       253;      6;     29.02;     23.17;           ;    -1076.29277691;    -0.00003526;         1.5994;        25.9638;     0.012042
