idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
242	23.1164	38.6334	51.5833	2.0	-0.191710	-0.192739	-0.001028
243	26.3081	35.6041	59.2717	2.0	-0.118767	-0.121157	-0.002390
244	20.8813	35.9524	49.7832	4.0	-0.131853	-0.132964	-0.001111
245	20.2856	47.0846	53.8931	4.0	-0.155483	-0.154424	0.001059
246	22.5884	39.3747	62.5096	2.0	-0.163123	-0.161761	0.001361
247	17.9019	43.2571	49.6962	4.0	-0.136469	-0.136532	-0.000063
248	19.6471	45.2217	53.1588	3.0	-0.178175	-0.178104	0.000071
249	18.5280	37.8601	52.2517	2.0	-0.196574	-0.198166	-0.001592
250	26.0938	43.9703	56.9189	2.0	-0.178533	-0.175577	0.002956
251	23.5712	45.3620	60.8809	2.0	-0.198289	-0.190205	0.008084
